,ItemID,sentiment,SentimentSource,text
352618,352631,1,Sentiment140,"@NikkiBenz you need to come to Peoria, Il Nikki. "
944919,944935,1,Sentiment140,is meeting Tony Hazell today  Tony and I worked together at Deloittes on Local Government things and I haven't seen him since.
1458721,1458737,0,Sentiment140,i'm hungry. and lonely. 
625314,625330,1,Sentiment140,cant get enuf of Zee Avi 
579665,579681,1,Sentiment140,@alexfarber yes it awful! It took me 30mins toi work it out! I did manage to get /harrydewhirst though 
1166495,1166511,0,Sentiment140,pouty face. going to bed now. frustrated...this is NOT going according to my liking. 
213263,213276,1,Sentiment140,@januaryseraph I guess I'm out. 
699249,699265,1,Sentiment140,@ChristopherKohn nothing as of yet maybe a hot bath and pilates  wanna join me?
864411,864427,0,Sentiment140,I think i have to go... 
564950,564966,1,Sentiment140,alex and jack. fine wines. claymation. the whisper war room. i do believe this calls for a lime popsicle 
1167972,1167988,1,Sentiment140,Prom was amazinggg!! Now off to Lake Conroe 
796177,796193,0,Sentiment140,I don't know Jo.  All I know is that there is a shortage of bees and that might be catastrophic . .. and I did not kill this one 
353169,353182,1,Sentiment140,"@ninaferrell Thanks for the follow and I, too, look forward to connecting. Have a wonderful weekend "
1401946,1401962,0,Sentiment140,Finally home after a trip back from good ol' ABQ!! What the hell happen I don't really now but I'm ok!!  
389251,389264,1,Sentiment140,@MusiicLover no idea :S &amp; yeah I LOVE the Jobros  bye I must go (L)
627794,627810,1,Sentiment140,Change of plan: cupcakes tomorrow since we'll have more time to make &amp; decorate without interruption 
1533030,1533046,0,Sentiment140,So disappointed really wanted to go the audition but cant now  argh fml.
824804,824820,0,Sentiment140,"I have a busy weeknd ahead of me- study session 2nite, test tomm, paper on sunday! NoT COOL "
529350,529363,0,Sentiment140,@tomwebster your probably right.  But I have been such a loyal USER of my phone.  I can't see why it would want to leave me 
955877,955893,1,Sentiment140,In London for the game. Everton 
1464702,1464718,1,Sentiment140,Is anyone going to get @mitchelmusso 's new cd this Tuesday? I know i am! 
627587,627603,0,Sentiment140,Back to school tomorrow after two weeks holliday  Currently writing an essay on the Glass Menagerie. Rivetting stuff ;)
214543,214556,0,Sentiment140,"@Jasontylerxx I kno, right?!? It was like a childhood dream come true!!! xD but i already left  rofl"
1492945,1492961,1,Sentiment140,Malam all...... dingin ya abis hujan!!!!  http://plurk.com/p/uldoa
574766,574782,1,Sentiment140,"4 weeks til @ddlovato concert!  ah, yay. Can not wait."
923640,923656,0,Sentiment140,is thinking why is my signal not back on yet? im on orange and its been off since yesturday 
979246,979262,0,Sentiment140,is so saddd.  Can't tweet anymore. My laptop is broken. Help! Haha..
1527993,1528009,0,Sentiment140,says bebe is still up. i can't play WoTLK.  http://plurk.com/p/11wfl8
1051611,1051627,1,Sentiment140,MONEY TIP- When you pay your bills on time I may mine and that's our bailout plan. 
1536727,1536743,0,Sentiment140,sorry for # spam of hash everest........ 
1355048,1355064,0,Sentiment140,WOW havnt tweeted in 2 days really and have so many tweets from the ppl im following i replyed to. now off to sneeze my brains out 
847056,847072,0,Sentiment140,I miss Dance. 
996096,996112,0,Sentiment140,MARIA PIA I AM VERY SAD YOU DID NOT MAKE IT! WE FREAKING ROCKED!  
438633,438646,0,Sentiment140,@SLVHealthDept Did that work then? It's been doing that to me every time I open it since the &quot;upgrade&quot;. 
803438,803454,1,Sentiment140,@fullfilth haah win 7 
301997,302010,0,Sentiment140,@KarinaGarcia shit that is far  but at least were in the same timezone LOL jk
1463007,1463023,0,Sentiment140,In desperate need of something I can simply not have.  current mood- deprived!
775151,775167,0,Sentiment140,Got in a big accident.  The other lady had to be taken to the ER. I'm really upset. :/
753806,753822,1,Sentiment140,"@dorsiatic ....wow RJ, Bear Grylls huh?  Sign me up! "
752696,752712,1,Sentiment140,has finished all her exams. freedommm! 
652082,652098,1,Sentiment140,Everyone says im mellow today Tehe  
1475716,1475732,1,Sentiment140,"it's summer and i wanna go a vacation.... But i still watch TV series, lmao  i'm ok with it, theres no problem.. i think... "
992789,992805,1,Sentiment140,just fought off a ginormous wasp.... with a broom... VICTORY IS MINE!!!!!!! 
875943,875959,0,Sentiment140,I want to see no doubt/paramore tonight 
153485,153498,0,Sentiment140,"@eveofdoom Yah SM2 had a few probs, but I think overall it ranks as one of the best comic films. That's what made SM3 so disappointing "
1176059,1176075,0,Sentiment140,"revising latin litriture, not goooood. "
364454,364467,1,Sentiment140,@paiiige I'm seeing complimentary products in your future 
763184,763200,0,Sentiment140,Have to go to work in a few hours.   Need more sleep.
1110480,1110496,1,Sentiment140,quincy jones ???????? secret garden... Tell me s secret  ??????? http://blip.fm/~7hca8
1005062,1005078,0,Sentiment140,"just came home. in search of a good headache reliever, advil is not working for me anymore. "
149760,149773,1,Sentiment140,@erosintelligent Lovely to meet you! 
985166,985182,0,Sentiment140,@lilkattalik i wish it were aunt chrissy &amp; baby day... 
168908,168921,0,Sentiment140,@geekgrrl Why is it leaving stores   Dave was loving it!!!
618129,618145,0,Sentiment140,"Awake at 5:00. And pretty sick  Work must go on, regardless! There are....customers to be served."
803865,803881,1,Sentiment140,@GabrielleWhite i heart you too! 
780607,780623,0,Sentiment140,I am going to need chiropractic realignment - I can just tell 
1370812,1370828,1,Sentiment140,and happy mother's 
275436,275449,1,Sentiment140,@LawryAgars haha no i meant the other floors of the building here have executives (hell barons) 
270879,270892,1,Sentiment140,@labradors http://twitpic.com/5sjkd - monty is a beautiful lab! hey there handsome 
822721,822737,0,Sentiment140,@HdksoN   no!  I  should  take ACC  on saturday~     I'll   want  relax!!!!!!
1204600,1204616,0,Sentiment140,So much to do but my headache won't allow me to get anything done.. smfh! 
1316785,1316801,0,Sentiment140,@TimWestwood I feel for you I washed my ipod last week 
913069,913085,0,Sentiment140,@jrbommarito  it was fun while it lasted
307801,307814,0,Sentiment140,@keb578 i got no answer from Jon tonight 
1013455,1013471,1,Sentiment140,@lordfolland I DIDN'T EVEN KNOW YOU WERE ON TWITTER!  How is everyone!?
286602,286615,1,Sentiment140,@m05a19y hey loser!! 
343292,343305,1,Sentiment140,@louieaberia hahahaha!! only a woMAN can do that. hahahaha ) kasuway na ka? joke!  all right no more fast food for u then. hahahaha )
1450445,1450461,1,Sentiment140,I think @adii has become the Tony Robbins of 2009. No offence Adii... you're very... &quot;inspirational&quot; 
226414,226427,1,Sentiment140,"@jlee_ I'm great, if we look past the fact that I had three hours of sleep  Great evening last night, tho, so worth it! How are you?"
770049,770065,1,Sentiment140,Good night twitter world  sweet dreams
635040,635056,1,Sentiment140,DIVERSITY WON &lt;3 YAY! I have nothing to rage about today 
1249138,1249154,1,Sentiment140,"@sp_d Hey, I have a life. And I twitter. It's a conversation, it's enlightning. And it's somewhat of a news source for me. TWEET. NOW! "
1373640,1373656,0,Sentiment140,asks bakit mahilig kumain ng load ang Globe?  http://plurk.com/p/xreqh
790792,790808,1,Sentiment140,"http://twitpic.com/7g5rg - aaw,graduation ! "
257459,257472,0,Sentiment140,@jaclynelkins Which movie? The link doesn't quite work  Is it Brothers Bloom? I was trying to find that playing around here
1236816,1236832,0,Kaggle,stupid mission impossible sold out right when we got there.
140937,140950,1,Sentiment140,@CreativeWisdom_ sounds like just the service I need 
761923,761939,1,Sentiment140,@effx6921 I got a good one for you  what's your email
1003186,1003202,0,Sentiment140,missing ontario..  
349071,349084,1,Sentiment140,@markdavis Living vicariously through THE mark Davis... thank you mark 
740798,740814,1,Sentiment140,Had a great anniversary weekend with my love  spent alot of time together and had a nice fancy dinner last night :-D wow one hole year#fb
468145,468158,1,Sentiment140,@TaylorEcstasy Moreeeee thann everr 
1433208,1433224,0,Sentiment140,I &lt;3 the city at night. It's raining though 
562898,562914,0,Sentiment140,"@5toSucceed We went to Gordon Biersch to eat, drink &amp; watch eight0eight play music. After @chariceq ate &amp; had 1 drink, she got sleepy. "
198890,198903,0,Sentiment140,@fishcraik aww no  I hope she's ok
772260,772276,1,Sentiment140,@elyshadicks thx 
562426,562442,1,Sentiment140,@1twistedmind Barney the purple dinosaur? 
6217,6220,1,Sentiment140,#IranElection VOTE FOR ME BY FOLLOWING ME  FOLLOW ME FOLLOW ME FOLLOW ME TIGER
973878,973894,0,Sentiment140,@LamoniFinlayson oooh too bad i can't get some bacon and eggs....or some tater treats.... 
1215667,1215683,0,Sentiment140,Steve Wiebe hits kill screen.  No record 
1281154,1281170,0,Sentiment140,@tayytayy im sad i didnt get to talk with you! 
876273,876289,0,Sentiment140,I want tweetie for firefox 
139654,139667,1,Sentiment140,@ebassman Good morning!  Have another great day 
619197,619213,0,Sentiment140,Damn haven't ate since noon. Eating some new englan clam chowder and a toasted cheese samich lol no more tamato soup 
261709,261722,1,Sentiment140,@ladygaga thanks for following me 
103683,103696,0,Sentiment140,@benjy1416 sims 1 or sims 2  which do i buyyy
734144,734160,0,Sentiment140,"First result of Zend 7.0.0 beta for #mac is more alpha then beta. Constant crashes, can't write even a line of code  Hmpf #php"
86136,86149,0,Sentiment140,@ChaChiCoco I don't wanna think about boom boom pow 
1318768,1318784,0,Sentiment140,What's up pussycat? My cheesecake is all soggy in the middle 
1397808,1397824,1,Sentiment140,Enjoying the beautiful state of Maine! Two days here and I'm already feeling sooooo relaxed 
55969,55982,1,Sentiment140,@BaconBellyBoy Especially sunny ones 
636943,636959,1,Sentiment140,BOOK NOW &amp; SAVE:SUMMER 2009 * THE AMAZONES VILLAGE SUITES****-CRETE-GREECE! THE BEST PLACE TO BE! 
709188,709204,0,Sentiment140,@colossalblue is that anything like chu chu rocket? my gold sub also ran out 
23550,23563,1,Sentiment140,"@aarya no genre in particular...some casual reading, nothing too heavy, but no dan brown type masala  something like life of pi mayb"
403932,403945,1,Sentiment140,@RosieHattersley Hi Rosie! Want to DM you but not showing up in list to send to. Maybe a lag. Will try again in a bit 
998128,998144,1,Sentiment140,"@littlemissmerry Your not stuck there, you can up any leave any time you want  I actually reckon you will be much better off with Oracle!"
251284,251297,0,Sentiment140,@kcsulliv what did he play? I'm outta town for a day or two in the country and missed it  Prob funny or why i am?
498656,498669,1,Sentiment140,@xTriGGeRx1OvEx  yeA once  i find my camera im goin 2 take a pic of it 
366033,366046,0,Sentiment140,"@patinabox mines going fast, but ram is maxed out and cifs is down. "
192900,192913,0,Sentiment140,"@EvilChristina Damn, I just remembered that I am working for Berry tomorrow  Maybe we should hang out after work&gt;"
1382292,1382308,0,Sentiment140,Boy I wish my laptop would turn on. Having to use my phone to check up on things. Not the best way to do things.  #fb
1048532,1048548,0,Sentiment140,missing my berry 
629625,629641,0,Sentiment140,battery is low 
1017045,1017061,1,Sentiment140,My eyes are tired..lol just finished season one of true blood..omg we watched it all in 2 nights lol. It was good tho 
1496969,1496985,1,Sentiment140,Morning morning ! There's such a beautiful day outside ... Sunny sunny sunday !  *
204126,204139,1,Sentiment140,"@Irish1974 Now - gonna give kids a bath, eat dinner and pass out.  I'm POOPED!!!!  But that's where I've been."
35786,35799,0,Sentiment140,@alenanichols I need some motivation too! 
1194501,1194517,0,Sentiment140,@rstreb Thanks! the problem is I checked for the latest version of flash and it was installed...  
169121,169134,1,Sentiment140,@geave cousins cousines tout le monde tambourine 
1174146,1174162,0,Sentiment140,really thinks wee callum should of got through last night 
633733,633749,0,Sentiment140,Didn't make it to #OMS Long Beach today (Not feeling well and very busy  ) but catching up on Twitter
98953,98966,0,Sentiment140,"@cp007 the second years last day of term, and prob wont see some of them ever again. "
361316,361329,0,Sentiment140,@ominousorange I AM SO JEALOUS!!! i miss hawaii! 
634602,634618,1,Sentiment140,Big day! Grad dinner dance banquet! Time to get prettied up. 
1130382,1130398,0,Sentiment140,ohhh spent way too much time in the sun the last 2 days i am now as red as a tomato  any help on how to stop it hurtin wud b great 
1548080,1548096,0,Sentiment140,this day cant go by any slower 
1447981,1447997,0,Sentiment140,"i need more people to follow, im lonely "
1243252,1243268,1,Sentiment140,@snagy yeah but just wanted an easy film to chillout &amp; watch. There wasnt many options. All the good bits are in the advert! 
200772,200785,0,Sentiment140,@FreakPirate Last night we got slammed 30 minutes before we closed... they didn't leave until almost 40 minutes AFTER we closed. 
1043225,1043241,1,Sentiment140,@matttoophat Good for you! All in one go too? Nice. 
681698,681714,1,Sentiment140,gefeliciteerd @l0ser!!! 
1488787,1488803,1,Sentiment140,listening to mws the first decade. memories of teen years. 
767306,767322,1,Sentiment140,@elanatjie well... november this year elana!!! were gonna get to see New Moon together!!!  YAY!!!!!
1512726,1512742,1,Sentiment140,Ohhh pretty music too! 
1151491,1151507,1,Sentiment140,so will set the US #bing hp as my fav page and will forget im french 
512287,512300,1,Sentiment140,"@zombiegrrl99 thanks, i feel a lot better now.. but it hurt like hell!!!  good luck with the lousy student writing. "
1064191,1064207,1,Sentiment140,@milaaaaycyrusss i no you do  everyone does 
696781,696797,1,Sentiment140,Ed Westwick freaks me out. 
1177670,1177686,0,Sentiment140,"@renmaldita @liaalu @mzmraz @irrationallogic On second thought, never mind. There are no jap starters. Awww... "
197667,197680,0,Sentiment140,@iiHYP I just wanted you to kno that your reply to me was very mean..I had to grab my chest to smolder the pain 
1202040,1202056,0,Sentiment140,"So freaking tired, but gotta go to work "
1459422,1459438,0,Sentiment140,I'm not a morning person i dont want to go to work. I want to go back to bed. 
1034090,1034106,0,Sentiment140,Lorenzo hates me.  weep weep. all I did was love music. weep weep.
1498782,1498798,0,Sentiment140,My blogger posts are all gone gone and gone!!  Sadded4lyfe.
613901,613917,0,Sentiment140,At internship. I wish I was home 
340985,340998,0,Sentiment140,"@LockeVincent Freezing cold, i love cold and snow, mostly cause we don't get it in denmark, just rain  miss canadian winters."
606302,606318,1,Sentiment140,Big pat on back!  http://ow.ly/as9Z  Click GAME  My latest 3D rotational constellation pattern matching game.  Site not too shabby either 
315044,315057,0,Sentiment140,@kindareal still not doing well with the contacts  im such a wuss!!
485318,485331,1,Sentiment140,@shakeitblueyes good 
1439576,1439592,0,Sentiment140,I got beaten by a 6 year old in chessclub 
1512589,1512605,0,Sentiment140,Ohgod I've finally realised I only had 4 hours sleep and 200mgs of caffiene for breakfast 
421674,421687,0,Sentiment140,@panda951 Ugh. that's no fun! 
377958,377971,1,Sentiment140,@ponet Hi Ponet!!! Hope you have an awesome week!!! 
451756,451769,1,Sentiment140,@TheIntriguing1 thanks!!! 
1095218,1095234,0,Sentiment140,Out canvassing for NYPIRG all day in the freezing cold rain. Finally dry with a cup of tea.  Wishing I was going to Starscape tomorrow 
1560925,1560941,1,Sentiment140,washington wins... great game... now off to interview Michele Smith 
1075031,1075047,0,Sentiment140,@mitchelmusso I wish I lived in california 
201748,201761,1,Sentiment140,@inrsoul hahaha... Yeah. My cheap triggers got an upgrade. Now for some low tech cheap fuzzy shots. Time to dust out my crap cameras. 
1039000,1039016,0,Sentiment140,leaving for Delhi after a short break in jabalpur 
1323871,1323887,0,Sentiment140,Watching Nitro Circus on mtv and cooking dinner. Sunday is my catch up day. Chores and stuff. 
1358419,1358435,0,Sentiment140,YAY DIVERSITY!!! but  Stavros 
1197666,1197682,0,Sentiment140,There is white stuff falling from the sky 
25087,25100,0,Sentiment140,@acushnie sad news fella  hope all works out ok
453732,453745,1,Sentiment140,@TheRealJordin Hello Jordin! I love your song &quot;Tattoo.&quot; You are amazing! This is KLCForever2. http://bit.ly/101Iwc  
1383286,1383302,0,Sentiment140,busiest day of my life. four teeth drilled. getting two more drilled on wed. and a crown. fml. writing thank yous till sleep time. 
605983,605999,0,Sentiment140,caved &amp; bought a card but then realized that she forgot to grab the grilling meat just as the debit card was swiped. 
700064,700080,1,Sentiment140,Gettin Maddie's picture taken! 
1034320,1034336,0,Sentiment140,lost my  voice  we must only talk through visible words now :/
871397,871413,1,Sentiment140,@jdawg1958 ~ this is definitely a waste of time.  
338858,338871,1,Sentiment140,@LittleMrsTom   Marcus Better bloody goooo!! haa Sreee to be a housemate 
1470383,1470399,0,Sentiment140,is sick... cough and cold...  http://plurk.com/p/xty0i
531503,531516,0,Sentiment140,@totalcliche its really hard to tell..  i'm stumped lol
1363071,1363087,1,Sentiment140,"@Zorlone so it only showed the visits from around 7:30 pm yesterday up to this morning.. my time, not yours..hehe haaay..hindi na masama "
105361,105374,1,Sentiment140,"@dannyarcher Not entirely sure offhand, but I'll get you a link later "
878,879,1,Sentiment140," @fernandofelman am gonna miss you too. if it's really gonna be 2-3 years, i might end up visiting you in Aussie land (i wish)"
1449546,1449562,0,Sentiment140,I said I'd do something this weekend and I didn't  i hate not being able to keep a promise 
1115440,1115456,0,Sentiment140,Oh crap!  My media centre is having a sleep-over @ my computer guy??????s shop
374845,374858,1,Sentiment140,@PheasantPhun @shustonphotos @jelo45110 He is probably like that whack job that tried to befriend the bears and we all know what happened 
915333,915349,0,Sentiment140,I was not made for early. 
489313,489326,1,Sentiment140,"@shonuuff in Texas where we're gonna moving to, then he's comin home!!  and no you're not bein nosey"
201242,201255,1,Sentiment140,"@imjustcreative Moaning. (You part of the over-indulgence crew from last night, too?) "
1237007,1237023,0,Sentiment140,Stupid ref. A lil rain never hurt any1. No soccer 
119508,119521,1,Sentiment140,"@caldjr Morning Dan! I have a feeling it might be rather busy down there, but we'll give it a go "
828092,828108,1,Sentiment140,@Henchman_21 12:24 minute flight to Moonglade....thinking of u 
1084344,1084360,0,Sentiment140,on my way to chilis to say bye to my new friend. then I'm gone. 
940465,940481,1,Sentiment140,"@kellyraeroberts well, i am only a few hours into my 34th year, but so far, so good!  Happy Birthday Week to you "
1512310,1512326,0,Sentiment140,"oh, and didn't run, got up early enough to, but no running  ....disappointed with myself"
1495240,1495256,0,Sentiment140,Missin my son. He is on his high adventure camp  hope he is having fun.
1203833,1203849,0,Sentiment140,@SarahSaner would love to.. i also trying to go!!! got a whole day of ironing calling  chat soon xx
467620,467633,1,Sentiment140,@tat2dsteelergal me too...but J has a new bed that is being delivered today...ugh. Guess I have to be up 
1015912,1015928,1,Sentiment140,"My daughters are happy to see me, "
686543,686559,1,Sentiment140,Follow @sczepanski my 100th follower 
